name,quadrant_conf,block_conf
Перевод Внешний сайт ООО «НН-Сервис» (polarstar-hotel.ru) на целевые CoreIT,0.4187,0.632
Перевод Сайт НТЭК на целевые CoreIT,0.419,0.4775
Перевод АИИС КУЭ АльфаЦЕНТР на целевые CoreIT,0.4191,0.7454
Миграция БД,0.4191,0.7353
Реновация АПЛ изготовления бочек ЦЭН (КГМК),0.4196,0.6877
Перевод Внешний сайт АО ЕРП на целевые CoreIT,0.4196,0.4828
Бюджетный и проектный контроль,0.4196,0.47
Реновация АРМ Весовщика ОРФ РЦ (КГМК),0.4198,0.6966
Создание беспроводной сети связи новых стандартов на подземных и наземных объектах ООО «Медвежий ручей»,0.4203,0.6138
Перевод 1С Персонал (НТПО) на целевые CoreIT,0.4205,0.4773
Внедрение автоматизированной системы управления водными ресурсами,0.4212,0.6466
ИИ Советчик для передела ОРИД с целью сокращения потери драгметаллов,0.4215,0.6504
Модернизация системы хранения данных подсистемы резервного копирования системы защиты технологических процессов предприятий Заполярного филиала ПАО «ГМК «Норильский никель»,0.4218,0.6221
Внедрение средства контроля целостности конфигурации информационных систем,0.4221,0.6791
Оптимизация переделов ГМО ЦЭН,0.4224,0.8408
Перевод Внешний сайт ООО «Санаторий Заполярье» (hello.zapolarye.ru) на целевые CoreIT,0.4242,0.7649
"Создание системы технического(машинного) зрения, для контроля характеристики пенного слоя в процессе флотации на НОФ",0.4242,0.4954
Перевод Внешний сайт ООО «Санаторий Заполярье» (zfit-sochi.ru) на целевые CoreIT,0.4247,0.6371
Консультационные услуги по формированию концепции совершенствования административно-управленческих функций ПАО «ГМК «Норильский никель»,0.4249,0.5264
ДК на вывод IS0004057 Платформа виртуализации Hyper-V (АО ТТК),0.4251,0.9194
Создание системы защиты информации в автоматизированных системах управления производственными и технологическими процессами Медного завода,0.4252,0.4065
Создание многофункциональной системы безопасности ООО Медвежий ручей (МФСБ),0.4253,0.4678
Развитие системы Производственно-экономического планирования в Группе компаний «Норильский никель»,0.4255,0.524
Реновация Утилизация тепла 2 НПТП НСОВ-3 ЦЭО (КГМК),0.4264,0.6908
Реновация СУТЭ ТЭЦ-2 (НТЭК),0.4266,0.5247
СПП-ТО-СДО Комплексная программа обучения и информационной поддержки процессов технического обслуживания и ремонтов СДО в AR/VR.,0.4266,0.4975
ДК на вывод IS0003829 Платформа виртуализации Hyper-V (Спутник НПР),0.4271,0.9197
Перевод АС «Пользователи Сервисов» на целевые CoreIT,0.4272,0.5329
ДК на вывод IS0004058 Платформа виртуализации Hyper-V (Норильск Авиа),0.4273,0.9221
Реновация Система УДГиГК МГМ (Норильскгазпром),0.4273,0.5141
Цифровая книга сменного задания,0.4278,0.8922
Модернизация системы предотвращения вторжений в ИТ-инфраструктуру ПАО «ГМК «Норильский никель»,0.4279,0.6137
CTC-EXPERT,0.428,0.6368
Миграции АРМ пользователей на целевую ОС Linux в ЭД,0.428,0.538
Модернизация программно-аппаратных комплексов подсистемы анализа уязвимостей системы защиты технологических процессов ООО Медвежий ручей,0.4284,0.6171
Реновация СУТЭ ТЭЦ-3 (НТЭК),0.4284,0.5272
Реновация СТК 5Г УХГЭС (НТЭК),0.4288,0.5211
Создание системы защиты информации в автоматизированных системах управления производственными и технологическими процессами структурного подразделения минерально-сырьевого комплекса (МСК) и производст,0.4289,0.4039
"Полимерная шпала
(ДТИ-ЗФ-Р-097-К)",0.4289,0.9804
Создание подсистемы контроля действий привилегированных пользователей системы ащиты технологических процессов АО НТЭК,0.4292,0.6877
Создание подсистемы каталогов инфраструктуры системы защиты технологических процессов ООО Медвежий ручей,0.4293,0.7263
Реновация Система УЭС МГМ (Норильскгазпром),0.4299,0.5158
Миграции АРМ пользователей на целевую ОС Linux в КД,0.43,0.5338
Миграции АРМ пользователей на целевую ОС Linux в ЗД,0.4305,0.5324
Модернизация программно-аппаратных комплексов подсистемы серверной инфраструктуры и хранения данных системы защиты технологических процессов предприятий Заполярного филиала ПАО «ГМК «Норильский никель»,0.4307,0.7342
Тираж МЧД на новый орг объем 3-я волна,0.4309,0.6841
Внедрение средства анализа сетевого трафика,0.431,0.7253
ИПК: входной контроль и экспертизы,0.4312,0.6629
Реновация СТК 4Г УХГЭС (НТЭК),0.4312,0.6355
Реновация СТК 2Г УХГЭС (НТЭК),0.4312,0.5229
Пилотный проект Портала данных бизнеса (ПДБ/Витрина данных),0.4314,1.0
ИГН: проектный контроль,0.4316,0.7039
Автоматизированная система управления производственной информацией и формирования аналитической отчетности в ЗФ,0.4316,0.416
Реновация СТК 3Г УХГЭС (НТЭК),0.4319,0.5228
ДК на вывод IS0003901 Платформа виртуализации Hyper-V (КЦЗ КФ),0.4319,0.9211
Миграции АРМ пользователей на целевую ОС Linux в НД,0.4319,0.5418
Корпоративный интернет-магазин B2B-Сenter,0.4321,1.0
Создание подсистемы контроля действий привилегированных пользователей системы защиты технологических процессов АО КГМК,0.4328,0.6834
Перевод Внешний сайт АО «Норильск Авиа» на целевые CoreIT,0.4331,0.6069
Установка инженерно-технических средств охраны главной понизительной подстанции ГПП-483,0.4331,0.4857
Реновация Система УТВС МГМ (Норильскгазпром),0.4331,0.5151
Монтаж структурированных кабельных систем и каналов передачи данных в подразделениях ЗФ ПАО «ГМК «Норильский никель»,0.4333,0.488
Моделирование тепловых потоков в цехе,0.434,1.0
Адаптивный контроль температуры плавки в реальном времени,0.434,0.7639
Цифровой журнал строительства (мобильное приложение),0.434,0.5959
"Повышение эффективности работы кольца распыла ПВП (НМЗ) 
(ДТИ-ЗФ-НМЗ-090-К)",0.434,0.9756
Система предиктивного обслуживания насосов,0.434,0.6977
Адаптированная 1С для управления стройкой,0.434,0.88
Цифровые сертификаты на металлопродукцию,0.434,0.6953
Использование тепла отходящих газов для генерации,0.434,0.9825
Система рекуперации тепла от охлаждения кокса,0.434,0.9828
Система интеллектуального управления освещением складов,0.434,0.987
Российские системы мониторинга вибрации оборудования,0.434,0.7682
Автоматический контроль состояния рельсовых путей,0.434,0.7578
Транскрибатор совещаний,0.434,0.5164
"Автоматизированная подписка на обновления данных (например, складские остатки)",0.434,0.7365
PostgresCore — Центральная СУБД Enterprise OLTP,0.434,0.756
MetalGPT Cloud Platform — облачная платформа для развёртывания агентов,0.434,0.4564
Локализованные системы ультразвуковой очистки,0.434,0.6566
Самообучающаяся система управления энергопотреблением,0.434,0.7483
Локализованные системы ультразвукового контроля,0.434,0.7258
Биометрический контроль доступа к системам управления,0.434,0.72
Каталитические системы для синтеза аммиака,0.434,0.7886
Граф технологических процессов (связь параметров плавки ↔ качество металла),0.434,0.9869
"Разгрузочная решетка МПСИ
(ДТИ-ЗФ-ТОФ-052-П)",0.434,0.9863
"Бронедиски для насосов Warman
(ДТИ-ЗФ-ТОФ-096-П)",0.434,0.9765
Автоматизация экологической отчетности ГО и ЗФ,0.434,0.5296
Витрина для мониторинга цепочек поставок (сырье → производство → отгрузка),0.434,0.798
Мониторинг риска поставщиков — Управление рисками цепи поставок,0.434,0.86
Автономный Центр мониторинга информационной безопасности с ИИ,0.434,0.72
Каталог химических анализов с lineage tracking (от пробы → отчет),0.434,0.9907
Мониторинг и диагнгостика динамического технологического оборудования,0.434,0.7491
Создание подсистемы каталогов инфраструктуры системы защиты технологических процессов АО КГМК,0.4341,0.7267
Внедрение подсистемы управления информационной безопасностью (модуль аудита ИБ и база знаний),0.4348,0.5676
Реновация САК ГТС ТЭЦ-2 (НТЭК),0.4354,0.5161
Оснащение ЦОД ИТ-инфраструктурой,0.4357,0.6086
"Выявление скрытых зависимостей в данных (например: ""изменение поставщика флюса → колебания энергопотребления"")",0.436,0.6477
"Автоматическое детектирование неисправностей и отклонений от стандартного режима работы оборудования ОФ КГМК
(ЦРЦТ-КГМК-ОФ-044-П)",0.4362,0.5603
Модернизация инженерной ИТ-инфраструктуры в серверных/технических помещениях ООО «Медвежий ручей»,0.4362,0.6157
Внедрение средства имитации инфраструктуры для обнаружения кибератак,0.4363,0.6237
Реновация Баланс Металлов ГРКБ,0.4365,0.5119
Внедрение ЕЦЦП в социальной сфере,0.4365,0.762
Модернизация системы хранения данных подсистемы резервного копирования системы защиты технологических процессов АО НГП,0.4367,0.6239
Модернизация системы хранения данных подсистемы резервного копирования системы защиты технологических процессов АО НТГ,0.4369,0.7399
Создание системы защиты информации в автоматизированных системах управления производственными и технологическими процессами ООО ''ГРК ''Быстринское'',0.4371,0.414
Перевод ПО «Металлоконструкции» на целевые CoreIT,0.4379,0.7425
Цифровая медицина. Система анализа рисков развития заболеваний,0.4379,0.6782
Реновация Система УЭС ССГКМ (Норильскгазпром),0.4381,0.5097
Перевод АС «Телегазета» на целевые CoreIT,0.4386,0.6081
Перевод АСУ ПСиСМ на целевые CoreIT,0.4387,0.8054
Модернизация системы повышения осведомленности ИБ,0.4391,0.7204
Реновация АСУ ГВУ-1 р.Северный (КГМК),0.4394,0.7637
"Пружинные диспергаторы
(ЦРЦТ-КГМК-ОФ-049-К)",0.44,0.6798
Реновация АСУ ГВУ-4 р.Северный (КГМК),0.4404,0.7658
Реновация АСУ ГВУ-5 р.Северный (КГМК),0.4404,0.676
Реновация ИС Виброконтроль ТА-5 ТЭЦ-2 (НТЭК),0.4407,0.4343
"Оптимизация ведения технологического процесса ХМЦ
(ЦРЦТ-КГМК-ХМЦ-025-К)",0.4407,0.6369
Создание подсистемы каталогов инфраструктуры системы защиты технологических процессов АО ТТК,0.4412,0.7251
Казначейство: прогнозирование ликвидности,0.4414,0.96
Создание подсистемы каталогов инфраструктуры системы защиты технологических процессов АО НТГ,0.4417,0.7263
Создание подсистемы каталогов инфраструктуры системы защиты технологических процессов АО НГП,0.4417,0.727
"ЕД.ПТ.013-22 Изменение технических решений по 4ПК (проектирование, строительство)",0.442,0.4927
Реновация ИС Виброконтроль ТА-3 ТЭЦ-2 (НТЭК),0.442,0.4366
Реновация мультимедийного комлпекса Большого и Малого конференц-залов на пл. Гвардейская д.2,0.442,0.8245
Создание подсистемы контроля действий привилегированных пользователей системы защиты технологических процессов АО ТТК,0.442,0.682
Создание подсистемы каталогов инфраструктуры системы защиты технологических процессов ООО НОК,0.4424,0.7249
Гибридное моделирование процессов кристаллизации,0.4424,1.0
Перевод АСУ КПМ на целевые CoreIT,0.4425,0.6762
Перевод Внешний сайт ПАО ГМК НН филиал ЗТФ на целевые CoreIT,0.4429,0.6098
"Восстановление насосов Bredel 32
(ДТИ-ЗФ-ТОФ-083-К)",0.443,0.981
Создание подсистемы каталогов инфраструктуры системы защиты технологических процессов АО НТЭК,0.4432,0.7263
Реновация ИС Виброконтроль ТА-2 ТЭЦ-3 (НТЭК),0.4432,0.4354
Комплекс видеоконтроля за погрузочно-разгрузочными работами,0.4434,0.4286
Перевод ИС «WEB-кадры» на целевые CoreIT,0.4435,0.6197
Создание подсистемы контроля действий привилегированных пользователей системы защиты технологических процессов ООО НОК,0.4436,0.6823
Реновация LIMS ГРКБ,0.4439,0.5061
Автоматический контроль состояния режущего инструмента,0.4451,0.7504
"Courier анализатор – непрерывный процесс калибровки 
(ЦРЦТ-КГМК-ОФ-011-О)",0.4455,0.4702
Перевод Менеджер лицензий ПО Стратегия Риска на целевые CoreIT,0.4455,0.416
ГРКБ_Миграции АРМ пользователей на целевую ОС Linux (ИТ.23-15),0.4459,0.7466
"Оптимизация управления ОЭП
(ЦРЦТ-ЗФ-НМЗ-048-К)",0.4459,0.9794
"Пилотные проекты по изготовлению деталей с применением технологии 3D печати: прототипы бронедиска насоса Warman для ТОФа для минимизации риска простоя (ЗФ)
(ДТИ-ЗФ-ТОФ-022-О)",0.446,0.7954
"Повышение селективности (флотации ОХР) разделения ДМ
(ЦРЦТ-КГМК-ЦЭН2-034-П)",0.446,0.6829
"Извлечение ценных компонентов из тонких фракций при флотационнм обогащении
(ДТИ-ГРКБ-БА-024-К)",0.446,0.9863
"Аэрация питания серосульфидной флотации НМЗ микропузырьками.
(ДТИ-ЗФ-НМЗ-089-К)",0.446,0.6868
Реновация АСТО (КГМК),0.446,0.5625
"Оптимизация процесса управления секциями флотации №4,5 и доп.флотацией
(ЦРЦТ-КГМК-ОРФ-028-П)",0.446,0.6341
"Пилотные проекты по изготовлению деталей с применением технологии 3D печати: прототипы улиты насоса ГРАУ для НМЗ для минимизации риска простоя (ЗФ)
(ДТИ-ЗФ-НМЗ-064-О)",0.446,0.7954
"Аэрация питания флотации малоникелистого пирротина ТОФ микропузырьками.
(ДТИ-ЗФ-ОФ-088-К)",0.446,0.6754
"Импортозамещение муфты для ПДМ AtlasCopco ST14
(ДТИ-ЗФ-Р-063-П)",0.446,0.4968
Оптимизация конвертерного передела,0.446,0.7659
"Импортозамещение запасных частей для насосного оборудования. Крейцкопф
(ДТИ-ЗФ-ТОФ-051-П)",0.446,0.6332
"Оптимизация управления флотации ОФ 2я ФМ
(ЦРЦТ-КГМК-ОФ-003-О)",0.446,0.7007
"Импортозамещение датчиков для систем автоматизации СБУ Epiroc
(ЦРЦТ-ЗФ-Р-076-П)",0.446,0.4768
"Оптимизация процесса управления секциями флотации №4,5 и доп.флотацией",0.446,0.7202
Использование виртуальных анализаторов в гидрометаллургическом отделении,0.446,0.9775
Создание АС «Автономный бутобой ИИ»,0.4461,0.6949
ДК на вывод IS0004059 Платформа виртуализации VMware (ЕРП),0.4462,0.7316
Модернизация программно-аппаратных комплексов подсистемы серверной инфраструктуры и хранения данных системы защиты технологических процессов АО НГП,0.4463,0.7376
Перевод Внешний сайт ООО «НН-Сервис» (norilsk-hotel.ru) на целевые CoreIT,0.4464,0.7697
"Пневматическая флотация
(ДТИ-КГМК-ОФ-053-К)",0.4472,0.5854
Перевод ArcGIS Server Enterprise Standard на целевые CoreIT,0.4472,0.4914
Модернизация программно-аппаратных комплексов подсистемы серверной инфраструктуры и хранения данных системы защиты технологических процессов АО НТГ,0.4474,0.736
Создание системы защиты информации в автоматизированных системах управления производственными и технологическими процессами ЗАО «Таймырская топливаня компания»,0.4476,0.3574
IS0001989 Industrial ML platform Тайга Дайнемикс,0.4478,0.6918
Перевод ARIS на целевые CoreIT,0.448,0.869
"Применени модифицированной серы в закладке
(ДТИ-ЗФ-БА-054-О)
",0.4481,0.6332
Модернизация системы АС БР – система динамического тестирования безопасности приложения,0.4484,0.6059
"Оптимизация ведения технологического процесса ОРиД
(ЦРЦТ-КГМК-ЦЭН2-027-О)",0.4486,0.6273
Перевод Внешний сайт ООО «НН-Сервис» (арена-норильск.рф) на целевые CoreIT,0.4486,0.6351
Модернизация программно-аппаратных комплексов подсистемы анализа уязвимостей системы защиты технологических процессов предприятий Заполярного филиала ПАО «ГМК «Норильский никель»,0.4486,0.6144
AI-cканер программного кода,0.4487,0.5665
Перевод Внешний сайт ООО «Колабыт» (kolabyt.ru) на целевые CoreIT,0.4487,0.6317
Создание ИТ-инфраструктуры для размещения системы защиты технологических процессов АО НТЭК,0.4489,0.7247
Техническое перевооружение системы микропроцессорной централизации стрелок и сигналов на предприятии технологического железнодорожного транспорта ЗФ ПАО «ГМК «Норильский никель» (ПТЖТ МПЦ-И),0.4491,0.6441
Виртуальный технолог (генерация рецептур сплавов),0.4494,0.7166
ДК на вывод IS0003893 Платформа виртуализации VMware (Санаторий Заполярье),0.4496,0.7369
Система видеомониторинга безопасности маршрутов движения транспортных средств и пешеходов на производственных территориях ЗФ ПАО «ГМК «Норильский никель»,0.4502,0.5825
Перевод Система «Инфраструктура открытых ключей» на целевые CoreIT,0.4502,0.5665
GovernanceHub — Управление соответствием данных,0.4502,0.7078
Автоматическое назначение data stewards для критичных данных,0.4507,0.7959
ДК на вывод IS0003841 Платформа виртуализации VMware (КТФ),0.4518,0.7337
"Реновация автоматизированной системы инвестиционного моделирования, мониторинга и портфельного анализа (АСУ ФЭM 2.0.)",0.4518,0.4257
Модернизация программно-аппаратных комплексов подсистемы анализа уязвимостей системы защиты технологических процессов АО КГМК,0.4531,0.637
Создание системы защиты информации в автоматизированных системах управления технологическими процессами и информационных системах персональных данных в АО «Норильскгазпром»,0.4536,0.5383
Оснащение источников загрязнения атмосферы средствами автоматического контроля выбросов,0.4538,0.6484
Модернизация автоматизированной системы управления отделения сгущения с модернизацией и интеграцией установок приготовления флокулянта на НОФ,0.4542,0.5883
"Прогнозирование процесса образования настылей в системе «ПВП-КУ» (НМЗ) с помощью математического моделирования (CFD/ 1D)
(ДТИ-ЗФ-НМЗ-080-К)
",0.4543,0.988
Создание подсистемы обнаружения изменений топологии сети системы защиты технологической процессов АО ''Норильско-Таймырская энергетическая компания'',0.4544,0.7335
Реновация Диспетчеризация (КГМК),0.455,0.5532
Автоматизированная система контроля использования средств индивидуальной защиты ООО «ГРК «Быстринское»,0.4555,0.7564
"Оптимизация управления участка Fe очистки
(ЦРЦТ-КГМК-ЦЭН1-033-К)",0.4557,0.6662
ДК на вывод СААСС из эксплуатации,0.4559,0.7309
ОВСС Эксплуатация,0.4561,1.0
Перевод Тренажер для подготовки персонала тепловых сетей (НТЭК) на целевые CoreIT,0.4564,0.6396
Узел учета сточных вод подразделений,0.4565,0.5599
Реновация ЭГСАР турбоагрегата №20 ТЭЦ-1 (НТЭК),0.4568,0.7377
Создание и развитие системы беспроводной передачи данных (pLTE),0.457,0.7353
"Шинный менеджер
(ЦРЦТ-ГРКБ-КР-010-О)",0.4573,0.5134
"Автоматическое обогащение витрин данными из Data Mall (например, рыночные цены на сырье)",0.4575,0.9865
Luxms BI,0.458,0.5701
Yandex DataLens,0.458,0.7033
Инфраструктура для замещения ключевых БП,0.4584,1.0
Переход на доверенные ПАК для управления грузовой системой наливного судна (СУГС ) танкера Енисей,0.4586,0.5615
Реновация ЭГСАР турбоагрегата №2 ТЭЦ-3 (НТЭК),0.4587,0.7438
Реновация Celonis Process Mining,0.4588,0.4867
Советчик Флотация НМЗ 25-39,0.459,0.7387
Перевод ПТК ГД на Linux,0.4591,0.8123
"ЗФ_ ИТ.23-16 Программа реновациия Core-IT на базе Linux, включая миграцию пользователей",0.4593,0.7375
"КГМК_ИТ.23-13 Реновация системы резервного копирования в дивизионах (ЗФ, КГМК, ГРКБ)",0.4596,0.5695
Умные счетчики энергопотребления по цехам,0.4606,0.984
Перевод Внешний сайт ООО «НН-Сервис» (arena-tropicana.ru) на целевые CoreIT,0.4606,0.6115
Реновация ЭГСАР турбоагрегата №1 ТЭЦ-1 (НТЭК),0.4608,0.7417
Оптимизатор сульфатизации ХМЦ,0.4611,0.7613
Гараж в г. Норильск Автоматизированная система учета и хранения ТМЦ,0.4612,0.4892
"ГРКБ_ ИТ.23-16 Программа реновациия Core-IT на базе Linux, включая миграцию пользователей",0.4616,0.7437
Установка датчиков уровня руды в пирамидальных бункерах для снижения рисков остановки разгрузочной тележки по полным бункерам,0.4617,0.4771
ЦИТ ДИТ 2024-2035 Обеспечение надежности и безопасности производства ЦИТ ДИТ 2024-2035 Обеспечение надежности и безопасности производства,0.4618,0.9661
"Оптимизация управления участка Fe и Zn очистки
(ЦРЦТ-КГМК-ЦЭН2-031-К)",0.4619,0.6686
Создание подсистемы обнаружения изменений топологии сети системы защиты технологических процессов АО ''НорильскТрансГаз'',0.4626,0.7346
Создание подсистемы обнаружения изменения топологии сети системы защиты технологических процессов предприятий Заполярного филиала ПАО ''ГМК ''Норильский Никель'',0.4632,0.6237
Модернизация программно-аппаратных комплексов подсистемы анализа уязвимостей системы защиты технологических процессов АО НГП,0.4634,0.6167
ИИ Генератор ТЗ для обседований ЭПБ и ремонтов по результатам ЭПБ,0.4634,0.7096
Перевод Эколого-юридическая система (ЗФ) на целевые CoreIT,0.4645,0.6208
Регистрация ИС СКУД (НТПО),0.4648,0.6945
"Создание системы контроля и управления стационарными вентиляторными установками, вентиляторами местного проветривания.",0.465,0.4339
Модернизация программно-аппаратных комплексов подсистемы анализа уязвимостей системы защиты технологических процессов АО НТЭК,0.465,0.6183
"Мероприятия по выявлению и устранению причин повышенного шламообразования при использовании для нанесения гальванических покрытий катодного никеля производства АО «Кольская ГМК» по сравнению с катодным никелем конкурентов
(ДТИ-КГМК-ЦЭН-2-060-П)",0.4654,0.7864
Модернизация программно-аппаратных комплексов подсистемы анализа уязвимостей системы защиты технологических процессов АО НТГ,0.4655,0.6152
Реновация установки обратного осмоса ТЭЦ-1 АО «НТЭК»,0.4656,0.4919
Реновация системы телефонной связи. Замена УПАТС Avaya,0.4657,0.4987
Автоматизированный учет инструмента в цехах,0.4659,0.7686
Реновация автоматизированной системы диспетчерского управления «Управления «Тепловодоснабжение,0.466,0.5509
Реновация ИС СИРИУС    ,0.466,0.6381
Реновация Система виртуализации (ГО),0.466,0.5098
Автоматическая установка пожаротушения и система оповещения и эвакуации при пожаре в здании маслобаков ЦРТ участка №10 ПЭР РМСТ ''НЭР'',0.466,0.6997
"Автоматическая установка пожаротушения и система оповещения и эвакуации при пожаре в здании производственной базы РМСТ ''НЭР'', отделение крупного ремонта двигателей постоянного тока и склад красок",0.466,0.6148
Реновация автоматизированной системы формирования технической отчетности (АСТО) ЗФ и МР,0.466,0.7641
Реновация СЛТМ-Р (НТГ),0.466,0.7161
Техническое перевооружение АСУ КФ СЦ Медного завода ЗФ,0.466,0.4989
Разработка системы предиктивного мониторинга эмиссий,0.466,0.4447
"Оснащение инженерно-техническими средствами охраны товароперевалочного цеха № 1, склада № 381, участка по переработке лома черного металла ПЕСХ ЗФ",0.466,0.905
Внедрение систем усовершенствованного управления технологическим процессом (СУУТП) флотации на ТОФ ЗФ,0.466,0.7152
Развитие автоматизированной системы контроля и учёта энергоресурсов ООО ''Норильскникельремонт'' с реновацией и интеграцией Механического завода,0.466,0.4059
Техническое перевооружение АСУ технологическими процессами конвертирования ПУ №3 ПЦ №1 НМЗ (ЗФ),0.466,0.5042
Реновация системы виртуализации серверной инфраструктуры ЗФ на базе ПО zvirt,0.466,0.5363
Реновация СБСН,0.466,0.6416
Развитие автоматизированной системы коммерческого учета энергоресурсов ООО «Норильскникельремонт» с реновацией и интеграцией Механического завода,0.466,0.4937
Оснащение источников загрязнения атмосферного воздуха I категории системой автоматического контроля выбросов предиктивного типа ''Axioma'' в ЗФ ПАО ''ГМК ''Норильский никель'',0.466,0.416
"Оснащение источников загрязнения атмосферы системой автоматического контроля выбросов предиктивного типа «Axioma» РЦ АО «Кольская ГМК» (ИЗАВ № 151, 201)",0.466,0.416
Оснащение системами противопожарной автоматики объектов Предприятия «Единое складское хозяйство» ЗФ ПАО «ГМК «Норильский никель»,0.466,0.5038
Внедрение системы поддержки и принятия решений для управления технологическим процессом флотации на НМЗ ЗФ ПАО ''ГМК ''Норильский никель'',0.466,0.5187
Расширение периметра Системы ситуационно-аналитических центров безопасности. Интеграция дополнительных объектов Компании.,0.466,0.4084
Оснащение источников загрязнения атмосферы системой автоматического контроля выбросов предиктивного типа ''Axioma'' в ООО ''Норильский обеспечивающий комплекс'' (ИЗАВ № 1205),0.466,0.72
Оснащение источников загрязнения атмосферного воздуха I категории средствами автоматического контроля выбросов в ЗФ ПАО «ГМК «Норильский никель»,0.466,0.416
Внедрение модуля управления железнодорожным транспортом на Предприятии технологического железнодорожного транспорта ЗФ,0.466,0.4516
"Модель управления секциями №2, 4 медистой цепочки флотации с помощью ML-алгоритмов на НОФ ООО «Медвежий ручей»",0.466,0.7192
Интеграция EA Tool с Сириусом по обмену ЗНИ,0.466,0.6725
"Разработка оптимизационного механизма управления секциями 1, 2, 3 и сульфидной флотации на Обогатительной Фабрике АО «Кольская ГМК»",0.466,0.7248
"Техническое перевооружение АСУ ПСВ ЭУ № 2, 3 ЦЭМ Медного завода ЗФ",0.466,0.4985
Реновация СРК ЗФ,0.466,0.7093
Импортозамещение системы защиты веб-приложений,0.466,0.7602
РС. Комплексная система безопасности подземного расходного склада ВМ № 1057,0.466,0.6097
Создание подсистемы обнаружения изменений топологии сети системы защиты технологических процессов АО ''Норильскгазпром'',0.4665,0.7343
Система калибровки пульповых анализаторов,0.4666,0.7785
"Создание системы контроля запыленности воздуха, контроля и прогноза геодинамических явлений, контроля и управления средствами взрывозащиты горных выработок.",0.4669,0.4214
Создание подсистемы обнаружения изменения топологии сети системы защиты технологических процессов в ООО ''Медвежий ручей'',0.4672,0.7309
Перевод СТАП SafeQ на целевые CoreIT,0.4672,0.5559
Перевод Сайт ЛП на целевые CoreIT,0.4674,0.3341
Организация покамерного дозирования воздуха по каждой флотомашине,0.4676,0.6842
Интеграция с ИБ,0.468,0.3952
Импортозамещение системы управления учетными записями и правилами доступа,0.4686,0.7652
Производство порошков для 3Д-печати и сплавов на основе никеля и кобальта,0.4686,0.986
Модернизация подсистемы инженерной инфраструктуры СЗТП МЗ и НМЗ.,0.4697,0.732
"Импортозамещение средства мониторинга конфигурации сетевых устройств ГО, КГМК",0.47,0.7899
Перевод Внешний сайт ООО «Санаторий Заполярье» (zapolarye.ru) на целевые CoreIT,0.4706,0.6293
Реновация автоматизированной системы управления технологическими процессами насосной станции оборотной воды №3 хвостохранилища «Лебяжье»,0.4714,0.56
ИТ-изменение Cbooking,0.4721,0.6041
Отечественные системы плазменной резки,0.4727,0.9775
ИТ-изменение Академсервис,0.4731,0.822
Создание подсистемы обнаружения изменения топологии сети системы защиты технологических процессов АО ТТК,0.4732,0.7329
Создание подсистемы обнаружения изменения топологии сети системы защиты технологических процессов ООО НОК,0.4733,0.7336
Перевод ПАК «Предсменный экзаменатор» на целевые CoreIT,0.4734,0.8626
Аварийная реставрация ИТ-систем для обеспечения ИТ-непрерывности,0.474,0.9763
"Реновация SAP GRC RM,PC",0.4745,0.903
"Повышение качества готовых катодов никеля производства ЦЭН-2
(ДТИ-КГМК-ЦЭН2-015-О)",0.4746,0.6849
Реновация Индиго УЦ-1,0.4746,0.7033
"Обеднение конвертерных шлаков НМЗ
(ДТИ-ЗФ-НМЗ-084-К)",0.4762,0.9852
Галактика ESB,0.4768,1.0
Перевод АИС «Учет оборудования АСС» на целевые CoreIT,0.4769,0.6895
"Построение выделенной ТСПД АО Кольская ГМК по объектам, исключенным из периметра реализации  IT.P.19-16.1 (ЦЭН1, ОФ, РС, ОРФ, МЦ, ХМЦ, ЦЭО ВК, КВО)",0.4775,0.7034
Реновация LIMS,0.4778,0.5084
Перевод на Core IT/доработка АС «УРСС»,0.4779,0.691
Внедрение EA Tool,0.4786,0.5098
Ядро идентификации — Архитектура Zero Trust для всех систем,0.4787,0.5718
Внедрение системы Производственно-экономического планирования в Группе компаний «Норильский никель»,0.4788,0.5234
Перевод АСУ ПБ на целевые CoreIT,0.4796,0.8057
"Стабилизация гран-состава руды перед МПСИ
(ЦРЦТ-ЗФ-ТОФ-035-П)",0.48,0.6613
Переход на доверенные ПАК для Навигационной системы ЭКНИС TRANSAS NS4000 (ЭКНИС) танкера Енисей,0.4804,0.6144
Перевод АС «Контроль потребностей заказчика» (НТЭК) на целевые CoreIT,0.4806,0.6756
Перевод Bonobo Git Server (КГМК) на целевые CoreIT,0.4808,0.5259
Перевод Портал «WORK» на целевые CoreIT,0.481,0.7772
«ОАО «Кольская ГМК». Площадка Мончегорск. Реконструкция отделения  сорбционной очистки сточных вод и организация на его базе Инженерно-технологического центра Компании»,0.4811,0.6502
Оснащение системой Аксиома двух источников - ТЭЦ НТЭК и ТЭЦ КГМК,0.4812,0.545
Перевод ИС «Фабрика идей» на целевые Core-IT,0.4813,0.802
"Перевод на Core IT/доработка АС «Учет драгметаллов в приборах, узлах и деталях оборудования»",0.4813,0.5004
Техническое перевооружение месторождений АО ''Норильскгазпром''. Модернизация систем промышленной автоматизации,0.4817,0.4832
Перевод АИС «Техконтроль» на целевые CoreIT,0.4818,0.6027
ИИ Советчик для оптимизации флотации на переделе ОРФ,0.482,0.6713
Оптимизация работы конвертерного передела МЗ на базе ИИ,0.482,0.7795
